"Hand (1st,2nd / Dealer's)",Current Money,Player Totals,Dealer Totals,Player 1st Card,Player 2nd Card,Dealer 1st Card,Dealer 2nd Card,Hit Count,Outcome,Double,Split,Player Hand,Overall Win,Overall Loss,Win Only,Loss Only,Bust,Dealer Bust,Blackjack,Push,Win Only %,Overall Win %,Overall Loss %,Dealer Bust %,Loss Only %,Bust %,Blackjack %,Push %
"5,10 / 7",353,353,353,353,353,353,353,353,353,353,353,353,111,226,64,31,195,47,0,16,nan%,31.44%,64.02%,13.31%,8.78%,55.24%,0.00%,4.53%
"5,10 / 8",343,343,343,343,343,343,343,343,343,343,343,343,92,223,56,33,190,36,0,28,nan%,26.82%,65.01%,10.50%,9.62%,55.39%,0.00%,8.16%
"5,10 / 9",388,388,388,388,388,388,388,388,388,388,388,388,93,274,49,49,225,44,0,21,nan%,23.97%,70.62%,11.34%,12.63%,57.99%,0.00%,5.41%
"5,11 / 10",338,338,338,338,338,338,338,338,338,338,338,338,110,199,71,70,129,39,0,29,nan%,32.54%,58.88%,11.54%,20.71%,38.17%,0.00%,8.58%
"5,11 / 11",75,75,75,75,75,75,75,75,75,75,75,75,27,40,14,16,24,13,0,8,nan%,36.00%,53.33%,17.33%,21.33%,32.00%,0.00%,10.67%
"5,11 / 2",94,94,94,94,94,94,94,94,94,94,94,94,51,41,13,39,2,38,0,2,nan%,54.26%,43.62%,40.43%,41.49%,2.13%,0.00%,2.13%
"5,11 / 3",107,107,107,107,107,107,107,107,107,107,107,107,58,43,16,40,3,42,0,6,nan%,54.21%,40.19%,39.25%,37.38%,2.80%,0.00%,5.61%
"5,11 / 4",78,78,78,78,78,78,78,78,78,78,78,78,34,39,4,39,0,30,0,5,nan%,43.59%,50.00%,38.46%,50.00%,0.00%,0.00%,6.41%
"5,11 / 5",66,66,66,66,66,66,66,66,66,66,66,66,35,26,14,26,0,21,0,5,nan%,53.03%,39.39%,31.82%,39.39%,0.00%,0.00%,7.58%
"5,11 / 6",106,106,106,106,106,106,106,106,106,106,106,106,58,44,9,44,0,49,0,4,nan%,54.72%,41.51%,46.23%,41.51%,0.00%,0.00%,3.77%
"5,11 / 7",95,95,95,95,95,95,95,95,95,95,95,95,50,39,31,9,30,19,0,6,nan%,52.63%,41.05%,20.00%,9.47%,31.58%,0.00%,6.32%
"5,11 / 8",81,81,81,81,81,81,81,81,81,81,81,81,23,50,17,17,33,6,0,8,nan%,28.40%,61.73%,7.41%,20.99%,40.74%,0.00%,9.88%
"5,11 / 9",86,86,86,86,86,86,86,86,86,86,86,86,35,44,22,13,31,13,0,7,nan%,40.70%,51.16%,15.12%,15.12%,36.05%,0.00%,8.14%
"5,5 / 10",192,192,192,192,192,192,192,192,192,192,192,192,61,94,33,56,38,28,0,37,nan%,31.77%,48.96%,14.58%,29.17%,19.79%,0.00%,19.27%
"5,5 / 11",56,56,56,56,56,56,56,56,56,56,56,56,19,31,8,17,14,11,0,6,nan%,33.93%,55.36%,19.64%,30.36%,25.00%,0.00%,10.71%
"5,5 / 2",44,44,44,44,44,44,44,44,44,44,44,44,25,17,5,17,0,20,0,2,nan%,56.82%,38.64%,45.45%,38.64%,0.00%,0.00%,4.55%
"5,5 / 3",49,49,49,49,49,49,49,49,49,49,49,49,26,17,11,17,0,15,0,6,nan%,53.06%,34.69%,30.61%,34.69%,0.00%,0.00%,12.24%
"5,5 / 4",41,41,41,41,41,41,41,41,41,41,41,41,24,14,7,14,0,17,0,3,nan%,58.54%,34.15%,41.46%,34.15%,0.00%,0.00%,7.32%
"5,5 / 5",48,48,48,48,48,48,48,48,48,48,48,48,27,17,5,17,0,22,0,4,nan%,56.25%,35.42%,45.83%,35.42%,0.00%,0.00%,8.33%
"5,5 / 6",43,43,43,43,43,43,43,43,43,43,43,43,25,15,7,15,0,18,0,3,nan%,58.14%,34.88%,41.86%,34.88%,0.00%,0.00%,6.98%
"5,5 / 7",51,51,51,51,51,51,51,51,51,51,51,51,28,22,13,22,0,15,0,1,nan%,54.90%,43.14%,29.41%,43.14%,0.00%,0.00%,1.96%
"5,5 / 8",50,50,50,50,50,50,50,50,50,50,50,50,27,19,8,19,0,19,0,4,nan%,54.00%,38.00%,38.00%,38.00%,0.00%,0.00%,8.00%
"5,5 / 9",47,47,47,47,47,47,47,47,47,47,47,47,21,20,12,20,0,9,0,6,nan%,44.68%,42.55%,19.15%,42.55%,0.00%,0.00%,12.77%
"5,6 / 10",369,369,369,369,369,369,369,369,369,369,369,369,197,148,106,148,0,91,0,24,nan%,53.39%,40.11%,24.66%,40.11%,0.00%,0.00%,6.50%
