"Hand (1st,2nd / Dealer's)",Current Money,Player Totals,Dealer Totals,Player 1st Card,Player 2nd Card,Dealer 1st Card,Dealer 2nd Card,Hit Count,Outcome,Double,Split,Player Hand,Overall Win,Overall Loss,Win Only,Loss Only,Bust,Dealer Bust,Blackjack,Push,Win Only %,Overall Win %,Overall Loss %,Dealer Bust %,Loss Only %,Bust %,Blackjack %,Push %
"6,6 / 8",49,49,49,49,49,49,49,49,49,49,49,49,17,27,8,3,24,9,0,5,nan%,34.69%,55.10%,18.37%,6.12%,48.98%,0.00%,10.20%
"6,6 / 9",41,41,41,41,41,41,41,41,41,41,41,41,10,25,4,6,19,6,0,6,nan%,24.39%,60.98%,14.63%,14.63%,46.34%,0.00%,14.63%
"6,7 / 10",372,372,372,372,372,372,372,372,372,372,372,372,92,248,42,69,179,50,0,32,nan%,24.73%,66.67%,13.44%,18.55%,48.12%,0.00%,8.60%
"6,7 / 11",78,78,78,78,78,78,78,78,78,78,78,78,22,50,11,14,36,11,0,6,nan%,28.21%,64.10%,14.10%,17.95%,46.15%,0.00%,7.69%
"6,7 / 2",88,88,88,88,88,88,88,88,88,88,88,88,29,59,0,59,0,29,0,0,nan%,32.95%,67.05%,32.95%,67.05%,0.00%,0.00%,0.00%
"6,7 / 3",103,103,103,103,103,103,103,103,103,103,103,103,37,66,0,66,0,37,0,0,nan%,35.92%,64.08%,35.92%,64.08%,0.00%,0.00%,0.00%
"6,7 / 4",83,83,83,83,83,83,83,83,83,83,83,83,40,43,0,43,0,40,0,0,nan%,48.19%,51.81%,48.19%,51.81%,0.00%,0.00%,0.00%
"6,7 / 5",111,111,111,111,111,111,111,111,111,111,111,111,52,59,0,59,0,52,0,0,nan%,46.85%,53.15%,46.85%,53.15%,0.00%,0.00%,0.00%
"6,7 / 6",108,108,108,108,108,108,108,108,108,108,108,108,31,77,0,77,0,31,0,0,nan%,28.70%,71.30%,28.70%,71.30%,0.00%,0.00%,0.00%
"6,7 / 7",97,97,97,97,97,97,97,97,97,97,97,97,37,55,23,7,48,14,0,5,nan%,38.14%,56.70%,14.43%,7.22%,49.48%,0.00%,5.15%
"6,7 / 8",86,86,86,86,86,86,86,86,86,86,86,86,20,63,14,10,53,6,0,3,nan%,23.26%,73.26%,6.98%,11.63%,61.63%,0.00%,3.49%
"6,7 / 9",67,67,67,67,67,67,67,67,67,67,67,67,16,45,10,15,30,6,0,6,nan%,23.88%,67.16%,8.96%,22.39%,44.78%,0.00%,8.96%
"6,8 / 10",359,359,359,359,359,359,359,359,359,359,359,359,71,252,46,57,195,25,0,36,nan%,19.78%,70.19%,6.96%,15.88%,54.32%,0.00%,10.03%
"6,8 / 11",107,107,107,107,107,107,107,107,107,107,107,107,13,82,6,18,64,7,0,12,nan%,12.15%,76.64%,6.54%,16.82%,59.81%,0.00%,11.21%
"6,8 / 2",103,103,103,103,103,103,103,103,103,103,103,103,38,65,0,65,0,38,0,0,nan%,36.89%,63.11%,36.89%,63.11%,0.00%,0.00%,0.00%
"6,8 / 3",94,94,94,94,94,94,94,94,94,94,94,94,38,56,0,56,0,38,0,0,nan%,40.43%,59.57%,40.43%,59.57%,0.00%,0.00%,0.00%
"6,8 / 4",85,85,85,85,85,85,85,85,85,85,85,85,29,56,0,56,0,29,0,0,nan%,34.12%,65.88%,34.12%,65.88%,0.00%,0.00%,0.00%
"6,8 / 5",94,94,94,94,94,94,94,94,94,94,94,94,40,54,0,54,0,40,0,0,nan%,42.55%,57.45%,42.55%,57.45%,0.00%,0.00%,0.00%
"6,8 / 6",97,97,97,97,97,97,97,97,97,97,97,97,34,63,0,63,0,34,0,0,nan%,35.05%,64.95%,35.05%,64.95%,0.00%,0.00%,0.00%
"6,8 / 7",79,79,79,79,79,79,79,79,79,79,79,79,24,49,15,4,45,9,0,6,nan%,30.38%,62.03%,11.39%,5.06%,56.96%,0.00%,7.59%
"6,8 / 8",102,102,102,102,102,102,102,102,102,102,102,102,29,66,17,8,58,12,0,7,nan%,28.43%,64.71%,11.76%,7.84%,56.86%,0.00%,6.86%
"6,8 / 9",93,93,93,93,93,93,93,93,93,93,93,93,25,62,14,13,49,11,0,6,nan%,26.88%,66.67%,11.83%,13.98%,52.69%,0.00%,6.45%
"6,9 / 10",383,383,383,383,383,383,383,383,383,383,383,383,79,278,46,61,217,33,0,26,nan%,20.63%,72.58%,8.62%,15.93%,56.66%,0.00%,6.79%
"6,9 / 11",89,89,89,89,89,89,89,89,89,89,89,89,12,72,6,14,58,6,0,5,nan%,13.48%,80.90%,6.74%,15.73%,65.17%,0.00%,5.62%
"6,9 / 2",102,102,102,102,102,102,102,102,102,102,102,102,40,62,0,62,0,40,0,0,nan%,39.22%,60.78%,39.22%,60.78%,0.00%,0.00%,0.00%
"6,9 / 3",104,104,104,104,104,104,104,104,104,104,104,104,40,64,0,64,0,40,0,0,nan%,38.46%,61.54%,38.46%,61.54%,0.00%,0.00%,0.00%
"6,9 / 4",95,95,95,95,95,95,95,95,95,95,95,95,39,56,0,56,0,39,0,0,nan%,41.05%,58.95%,41.05%,58.95%,0.00%,0.00%,0.00%
"6,9 / 5",99,99,99,99,99,99,99,99,99,99,99,99,46,53,0,53,0,46,0,0,nan%,46.46%,53.54%,46.46%,53.54%,0.00%,0.00%,0.00%
"6,9 / 6",74,74,74,74,74,74,74,74,74,74,74,74,21,53,0,53,0,21,0,0,nan%,28.38%,71.62%,28.38%,71.62%,0.00%,0.00%,0.00%
"6,9 / 7",87,87,87,87,87,87,87,87,87,87,87,87,23,57,14,9,48,9,0,7,nan%,26.44%,65.52%,10.34%,10.34%,55.17%,0.00%,8.05%
"6,9 / 8",92,92,92,92,92,92,92,92,92,92,92,92,19,69,14,10,59,5,0,4,nan%,20.65%,75.00%,5.43%,10.87%,64.13%,0.00%,4.35%
"6,9 / 9",108,108,108,108,108,108,108,108,108,108,108,108,30,72,17,9,63,13,0,6,nan%,27.78%,66.67%,12.04%,8.33%,58.33%,0.00%,5.56%
"7,10 / 10",1408,1408,1408,1408,1408,1408,1408,1408,1408,1408,1408,1408,294,953,0,953,0,294,0,161,nan%,20.88%,67.68%,20.88%,67.68%,0.00%,0.00%,11.43%
"7,10 / 11",371,371,371,371,371,371,371,371,371,371,371,371,99,234,0,234,0,99,0,38,nan%,26.68%,63.07%,26.68%,63.07%,0.00%,0.00%,10.24%
"7,10 / 2",345,345,345,345,345,345,345,345,345,345,345,345,139,165,0,165,0,139,0,41,nan%,40.29%,47.83%,40.29%,47.83%,0.00%,0.00%,11.88%
"7,10 / 3",348,348,348,348,348,348,348,348,348,348,348,348,136,163,0,163,0,136,0,49,nan%,39.08%,46.84%,39.08%,46.84%,0.00%,0.00%,14.08%
"7,10 / 4",387,387,387,387,387,387,387,387,387,387,387,387,148,189,0,189,0,148,0,50,nan%,38.24%,48.84%,38.24%,48.84%,0.00%,0.00%,12.92%
"7,10 / 5",363,363,363,363,363,363,363,363,363,363,363,363,160,160,0,160,0,160,0,43,nan%,44.08%,44.08%,44.08%,44.08%,0.00%,0.00%,11.85%
"7,10 / 6",356,356,356,356,356,356,356,356,356,356,356,356,173,139,0,139,0,173,0,44,nan%,48.60%,39.04%,48.60%,39.04%,0.00%,0.00%,12.36%
"7,10 / 7",350,350,350,350,350,350,350,350,350,350,350,350,101,133,0,133,0,101,0,116,nan%,28.86%,38.00%,28.86%,38.00%,0.00%,0.00%,33.14%
"7,10 / 8",321,321,321,321,321,321,321,321,321,321,321,321,82,187,0,187,0,82,0,52,nan%,25.55%,58.26%,25.55%,58.26%,0.00%,0.00%,16.20%
"7,10 / 9",364,364,364,364,364,364,364,364,364,364,364,364,85,240,0,240,0,85,0,39,nan%,23.35%,65.93%,23.35%,65.93%,0.00%,0.00%,10.71%
"7,11 / 10",370,370,370,370,370,370,370,370,370,370,370,370,120,218,55,130,88,65,0,32,nan%,32.43%,58.92%,17.57%,35.14%,23.78%,0.00%,8.65%
"7,11 / 11",78,78,78,78,78,78,78,78,78,78,78,78,31,39,17,30,9,14,0,8,nan%,39.74%,50.00%,17.95%,38.46%,11.54%,0.00%,10.26%
"7,11 / 2",99,99,99,99,99,99,99,99,99,99,99,99,55,39,14,39,0,41,0,5,nan%,55.56%,39.39%,41.41%,39.39%,0.00%,0.00%,5.05%
"7,11 / 3",91,91,91,91,91,91,91,91,91,91,91,91,53,33,14,33,0,39,0,5,nan%,58.24%,36.26%,42.86%,36.26%,0.00%,0.00%,5.49%
"7,11 / 4",80,80,80,80,80,80,80,80,80,80,80,80,43,27,11,27,0,32,0,10,nan%,53.75%,33.75%,40.00%,33.75%,0.00%,0.00%,12.50%
"7,11 / 5",83,83,83,83,83,83,83,83,83,83,83,83,38,44,5,44,0,33,0,1,nan%,45.78%,53.01%,39.76%,53.01%,0.00%,0.00%,1.20%
"7,11 / 6",94,94,94,94,94,94,94,94,94,94,94,94,54,35,17,35,0,37,0,5,nan%,57.45%,37.23%,39.36%,37.23%,0.00%,0.00%,5.32%
"7,11 / 7",106,106,106,106,106,106,106,106,106,106,106,106,74,12,43,12,0,31,0,20,nan%,69.81%,11.32%,29.25%,11.32%,0.00%,0.00%,18.87%
"7,11 / 8",85,85,85,85,85,85,85,85,85,85,85,85,28,21,11,21,0,17,0,36,nan%,32.94%,24.71%,20.00%,24.71%,0.00%,0.00%,42.35%
"7,11 / 9",90,90,90,90,90,90,90,90,90,90,90,90,28,50,17,35,15,11,0,12,nan%,31.11%,55.56%,12.22%,38.89%,16.67%,0.00%,13.33%
"7,7 / 10",196,196,196,196,196,196,196,196,196,196,196,196,58,129,30,29,100,28,0,9,nan%,29.59%,65.82%,14.29%,14.80%,51.02%,0.00%,4.59%
"7,7 / 11",49,49,49,49,49,49,49,49,49,49,49,49,10,35,9,12,23,1,0,4,nan%,20.41%,71.43%,2.04%,24.49%,46.94%,0.00%,8.16%
"7,7 / 2",78,78,78,78,78,78,78,78,78,78,78,78,25,45,5,45,0,20,0,8,nan%,32.05%,57.69%,25.64%,57.69%,0.00%,0.00%,10.26%
"7,7 / 3",102,102,102,102,102,102,102,102,102,102,102,102,44,54,1,50,4,43,0,4,nan%,43.14%,52.94%,42.16%,49.02%,3.92%,0.00%,3.92%
"7,7 / 4",96,96,96,96,96,96,96,96,96,96,96,96,54,38,2,38,0,52,0,4,nan%,56.25%,39.58%,54.17%,39.58%,0.00%,0.00%,4.17%
"7,7 / 5",88,88,88,88,88,88,88,88,88,88,88,88,41,43,5,43,0,36,0,4,nan%,46.59%,48.86%,40.91%,48.86%,0.00%,0.00%,4.55%
"7,7 / 6",100,100,100,100,100,100,100,100,100,100,100,100,51,41,7,41,0,44,0,8,nan%,51.00%,41.00%,44.00%,41.00%,0.00%,0.00%,8.00%
"7,7 / 7",86,86,86,86,86,86,86,86,86,86,86,86,24,41,8,16,25,16,0,21,nan%,27.91%,47.67%,18.60%,18.60%,29.07%,0.00%,24.42%
"7,7 / 8",48,48,48,48,48,48,48,48,48,48,48,48,15,31,5,5,26,10,0,2,nan%,31.25%,64.58%,20.83%,10.42%,54.17%,0.00%,4.17%
"7,7 / 9",59,59,59,59,59,59,59,59,59,59,59,59,11,45,7,5,40,4,0,3,nan%,18.64%,76.27%,6.78%,8.47%,67.80%,0.00%,5.08%
"7,8 / 10",340,340,340,340,340,340,340,340,340,340,340,340,67,257,29,53,204,38,0,16,nan%,19.71%,75.59%,11.18%,15.59%,60.00%,0.00%,4.71%
"7,8 / 11",86,86,86,86,86,86,86,86,86,86,86,86,10,73,3,23,50,7,0,3,nan%,11.63%,84.88%,8.14%,26.74%,58.14%,0.00%,3.49%
"7,8 / 2",100,100,100,100,100,100,100,100,100,100,100,100,31,69,0,69,0,31,0,0,nan%,31.00%,69.00%,31.00%,69.00%,0.00%,0.00%,0.00%
"7,8 / 3",103,103,103,103,103,103,103,103,103,103,103,103,45,58,0,58,0,45,0,0,nan%,43.69%,56.31%,43.69%,56.31%,0.00%,0.00%,0.00%
"7,8 / 4",100,100,100,100,100,100,100,100,100,100,100,100,35,65,0,65,0,35,0,0,nan%,35.00%,65.00%,35.00%,65.00%,0.00%,0.00%,0.00%
"7,8 / 5",91,91,91,91,91,91,91,91,91,91,91,91,36,55,0,55,0,36,0,0,nan%,39.56%,60.44%,39.56%,60.44%,0.00%,0.00%,0.00%
"7,8 / 6",110,110,110,110,110,110,110,110,110,110,110,110,52,58,0,58,0,52,0,0,nan%,47.27%,52.73%,47.27%,52.73%,0.00%,0.00%,0.00%
"7,8 / 7",98,98,98,98,98,98,98,98,98,98,98,98,26,66,16,10,56,10,0,6,nan%,26.53%,67.35%,10.20%,10.20%,57.14%,0.00%,6.12%
"7,8 / 8",80,80,80,80,80,80,80,80,80,80,80,80,23,53,12,7,46,11,0,4,nan%,28.75%,66.25%,13.75%,8.75%,57.50%,0.00%,5.00%
"7,8 / 9",102,102,102,102,102,102,102,102,102,102,102,102,26,72,19,12,60,7,0,4,nan%,25.49%,70.59%,6.86%,11.76%,58.82%,0.00%,3.92%
"7,9 / 10",363,363,363,363,363,363,363,363,363,363,363,363,79,266,44,55,211,35,0,18,nan%,21.76%,73.28%,9.64%,15.15%,58.13%,0.00%,4.96%
"7,9 / 11",120,120,120,120,120,120,120,120,120,120,120,120,27,86,14,13,73,13,0,7,nan%,22.50%,71.67%,10.83%,10.83%,60.83%,0.00%,5.83%
"7,9 / 2",107,107,107,107,107,107,107,107,107,107,107,107,39,68,0,68,0,39,0,0,nan%,36.45%,63.55%,36.45%,63.55%,0.00%,0.00%,0.00%
"7,9 / 3",91,91,91,91,91,91,91,91,91,91,91,91,32,59,0,59,0,32,0,0,nan%,35.16%,64.84%,35.16%,64.84%,0.00%,0.00%,0.00%
"7,9 / 4",104,104,104,104,104,104,104,104,104,104,104,104,37,67,0,67,0,37,0,0,nan%,35.58%,64.42%,35.58%,64.42%,0.00%,0.00%,0.00%
"7,9 / 5",86,86,86,86,86,86,86,86,86,86,86,86,42,44,0,44,0,42,0,0,nan%,48.84%,51.16%,48.84%,51.16%,0.00%,0.00%,0.00%
"7,9 / 6",104,104,104,104,104,104,104,104,104,104,104,104,45,59,0,59,0,45,0,0,nan%,43.27%,56.73%,43.27%,56.73%,0.00%,0.00%,0.00%
"7,9 / 7",88,88,88,88,88,88,88,88,88,88,88,88,29,53,16,3,50,13,0,6,nan%,32.95%,60.23%,14.77%,3.41%,56.82%,0.00%,6.82%
"7,9 / 8",85,85,85,85,85,85,85,85,85,85,85,85,29,53,16,5,48,13,0,3,nan%,34.12%,62.35%,15.29%,5.88%,56.47%,0.00%,3.53%
"7,9 / 9",91,91,91,91,91,91,91,91,91,91,91,91,24,59,19,8,51,5,0,8,nan%,26.37%,64.84%,5.49%,8.79%,56.04%,0.00%,8.79%
"8,10 / 10",1493,1493,1493,1493,1493,1493,1493,1493,1493,1493,1493,1493,520,810,166,810,0,354,0,163,nan%,34.83%,54.25%,23.71%,54.25%,0.00%,0.00%,10.92%
"8,10 / 11",364,364,364,364,364,364,364,364,364,364,364,364,136,199,50,199,0,86,0,29,nan%,37.36%,54.67%,23.63%,54.67%,0.00%,0.00%,7.97%
"8,10 / 2",323,323,323,323,323,323,323,323,323,323,323,323,161,114,44,114,0,117,0,48,nan%,49.85%,35.29%,36.22%,35.29%,0.00%,0.00%,14.86%
"8,10 / 3",359,359,359,359,359,359,359,359,359,359,359,359,188,124,49,124,0,139,0,47,nan%,52.37%,34.54%,38.72%,34.54%,0.00%,0.00%,13.09%
"8,10 / 4",357,357,357,357,357,357,357,357,357,357,357,357,189,125,44,125,0,145,0,43,nan%,52.94%,35.01%,40.62%,35.01%,0.00%,0.00%,12.04%
"8,10 / 5",374,374,374,374,374,374,374,374,374,374,374,374,208,115,41,115,0,167,0,51,nan%,55.61%,30.75%,44.65%,30.75%,0.00%,0.00%,13.64%
"8,10 / 6",374,374,374,374,374,374,374,374,374,374,374,374,227,107,63,107,0,164,0,40,nan%,60.70%,28.61%,43.85%,28.61%,0.00%,0.00%,10.70%
"8,10 / 7",385,385,385,385,385,385,385,385,385,385,385,385,251,92,133,92,0,118,0,42,nan%,65.19%,23.90%,30.65%,23.90%,0.00%,0.00%,10.91%
"8,10 / 8",324,324,324,324,324,324,324,324,324,324,324,324,116,75,43,75,0,73,0,133,nan%,35.80%,23.15%,22.53%,23.15%,0.00%,0.00%,41.05%
"8,10 / 9",350,350,350,350,350,350,350,350,350,350,350,350,124,187,40,187,0,84,0,39,nan%,35.43%,53.43%,24.00%,53.43%,0.00%,0.00%,11.14%
"8,11 / 10",413,413,413,413,413,413,413,413,413,413,413,413,182,186,97,186,0,85,0,45,nan%,44.07%,45.04%,20.58%,45.04%,0.00%,0.00%,10.90%
"8,11 / 11",69,69,69,69,69,69,69,69,69,69,69,69,30,28,11,28,0,19,0,11,nan%,43.48%,40.58%,27.54%,40.58%,0.00%,0.00%,15.94%
"8,11 / 2",86,86,86,86,86,86,86,86,86,86,86,86,55,18,21,18,0,34,0,13,nan%,63.95%,20.93%,39.53%,20.93%,0.00%,0.00%,15.12%
"8,11 / 3",104,104,104,104,104,104,104,104,104,104,104,104,58,32,27,32,0,31,0,14,nan%,55.77%,30.77%,29.81%,30.77%,0.00%,0.00%,13.46%
"8,11 / 4",78,78,78,78,78,78,78,78,78,78,78,78,47,17,12,17,0,35,0,14,nan%,60.26%,21.79%,44.87%,21.79%,0.00%,0.00%,17.95%
"8,11 / 5",91,91,91,91,91,91,91,91,91,91,91,91,66,20,23,20,0,43,0,5,nan%,72.53%,21.98%,47.25%,21.98%,0.00%,0.00%,5.49%
"8,11 / 6",71,71,71,71,71,71,71,71,71,71,71,71,53,7,16,7,0,37,0,11,nan%,74.65%,9.86%,52.11%,9.86%,0.00%,0.00%,15.49%
"8,11 / 7",99,99,99,99,99,99,99,99,99,99,99,99,81,10,51,10,0,30,0,8,nan%,81.82%,10.10%,30.30%,10.10%,0.00%,0.00%,8.08%
"8,11 / 8",91,91,91,91,91,91,91,91,91,91,91,91,73,7,44,7,0,29,0,11,nan%,80.22%,7.69%,31.87%,7.69%,0.00%,0.00%,12.09%
"8,11 / 9",110,110,110,110,110,110,110,110,110,110,110,110,53,20,31,20,0,22,0,37,nan%,48.18%,18.18%,20.00%,18.18%,0.00%,0.00%,33.64%
"8,8 / 10",414,414,414,414,414,414,414,414,414,414,414,414,113,255,55,174,81,58,0,46,nan%,27.29%,61.59%,14.01%,42.03%,19.57%,0.00%,11.11%
"8,8 / 11",62,62,62,62,62,62,62,62,62,62,62,62,18,40,6,23,17,12,0,4,nan%,29.03%,64.52%,19.35%,37.10%,27.42%,0.00%,6.45%
"8,8 / 2",96,96,96,96,96,96,96,96,96,96,96,96,40,48,11,44,4,29,0,8,nan%,41.67%,50.00%,30.21%,45.83%,4.17%,0.00%,8.33%
"8,8 / 3",68,68,68,68,68,68,68,68,68,68,68,68,34,33,8,32,1,26,0,1,nan%,50.00%,48.53%,38.24%,47.06%,1.47%,0.00%,1.47%
"8,8 / 4",100,100,100,100,100,100,100,100,100,100,100,100,37,52,9,52,0,28,0,11,nan%,37.00%,52.00%,28.00%,52.00%,0.00%,0.00%,11.00%
"8,8 / 5",82,82,82,82,82,82,82,82,82,82,82,82,48,31,6,31,0,42,0,3,nan%,58.54%,37.80%,51.22%,37.80%,0.00%,0.00%,3.66%
"8,8 / 6",82,82,82,82,82,82,82,82,82,82,82,82,43,35,5,35,0,38,0,4,nan%,52.44%,42.68%,46.34%,42.68%,0.00%,0.00%,4.88%
"8,8 / 7",84,84,84,84,84,84,84,84,84,84,84,84,51,24,25,7,17,26,0,9,nan%,60.71%,28.57%,30.95%,8.33%,20.24%,0.00%,10.71%
"8,8 / 8",72,72,72,72,72,72,72,72,72,72,72,72,28,33,15,13,20,13,0,11,nan%,38.89%,45.83%,18.06%,18.06%,27.78%,0.00%,15.28%
"8,8 / 9",86,86,86,86,86,86,86,86,86,86,86,86,28,49,8,35,14,20,0,9,nan%,32.56%,56.98%,23.26%,40.70%,16.28%,0.00%,10.47%
"8,9 / 10",344,344,344,344,344,344,344,344,344,344,344,344,62,232,0,232,0,62,0,50,nan%,18.02%,67.44%,18.02%,67.44%,0.00%,0.00%,14.53%
"8,9 / 11",90,90,90,90,90,90,90,90,90,90,90,90,25,60,0,60,0,25,0,5,nan%,27.78%,66.67%,27.78%,66.67%,0.00%,0.00%,5.56%
"8,9 / 2",85,85,85,85,85,85,85,85,85,85,85,85,31,48,0,48,0,31,0,6,nan%,36.47%,56.47%,36.47%,56.47%,0.00%,0.00%,7.06%
"8,9 / 3",94,94,94,94,94,94,94,94,94,94,94,94,29,49,0,49,0,29,0,16,nan%,30.85%,52.13%,30.85%,52.13%,0.00%,0.00%,17.02%
"8,9 / 4",86,86,86,86,86,86,86,86,86,86,86,86,34,40,0,40,0,34,0,12,nan%,39.53%,46.51%,39.53%,46.51%,0.00%,0.00%,13.95%
"8,9 / 5",71,71,71,71,71,71,71,71,71,71,71,71,31,28,0,28,0,31,0,12,nan%,43.66%,39.44%,43.66%,39.44%,0.00%,0.00%,16.90%
"8,9 / 6",95,95,95,95,95,95,95,95,95,95,95,95,38,39,0,39,0,38,0,18,nan%,40.00%,41.05%,40.00%,41.05%,0.00%,0.00%,18.95%
"8,9 / 7",73,73,73,73,73,73,73,73,73,73,73,73,22,26,0,26,0,22,0,25,nan%,30.14%,35.62%,30.14%,35.62%,0.00%,0.00%,34.25%
"8,9 / 8",95,95,95,95,95,95,95,95,95,95,95,95,26,58,0,58,0,26,0,11,nan%,27.37%,61.05%,27.37%,61.05%,0.00%,0.00%,11.58%
"8,9 / 9",85,85,85,85,85,85,85,85,85,85,85,85,13,64,0,64,0,13,0,8,nan%,15.29%,75.29%,15.29%,75.29%,0.00%,0.00%,9.41%
"9,10 / 10",1454,1454,1454,1454,1454,1454,1454,1454,1454,1454,1454,1454,643,665,305,665,0,338,0,146,nan%,44.22%,45.74%,23.25%,45.74%,0.00%,0.00%,10.04%
"9,10 / 11",367,367,367,367,367,367,367,367,367,367,367,367,178,160,72,160,0,106,0,29,nan%,48.50%,43.60%,28.88%,43.60%,0.00%,0.00%,7.90%
"9,10 / 2",358,358,358,358,358,358,358,358,358,358,358,358,224,92,85,92,0,139,0,42,nan%,62.57%,25.70%,38.83%,25.70%,0.00%,0.00%,11.73%
"9,10 / 3",370,370,370,370,370,370,370,370,370,370,370,370,231,99,96,99,0,135,0,40,nan%,62.43%,26.76%,36.49%,26.76%,0.00%,0.00%,10.81%
"9,10 / 4",347,347,347,347,347,347,347,347,347,347,347,347,229,74,81,74,0,148,0,44,nan%,65.99%,21.33%,42.65%,21.33%,0.00%,0.00%,12.68%
"9,10 / 5",371,371,371,371,371,371,371,371,371,371,371,371,254,74,87,74,0,167,0,43,nan%,68.46%,19.95%,45.01%,19.95%,0.00%,0.00%,11.59%
"9,10 / 6",388,388,388,388,388,388,388,388,388,388,388,388,284,80,118,80,0,166,0,24,nan%,73.20%,20.62%,42.78%,20.62%,0.00%,0.00%,6.19%
"9,10 / 7",350,350,350,350,350,350,350,350,350,350,350,350,268,52,189,52,0,79,0,30,nan%,76.57%,14.86%,22.57%,14.86%,0.00%,0.00%,8.57%
"9,10 / 8",365,365,365,365,365,365,365,365,365,365,365,365,278,45,190,45,0,88,0,42,nan%,76.16%,12.33%,24.11%,12.33%,0.00%,0.00%,11.51%
"9,10 / 9",350,350,350,350,350,350,350,350,350,350,350,350,174,65,94,65,0,80,0,111,nan%,49.71%,18.57%,22.86%,18.57%,0.00%,0.00%,31.71%
"9,11 / 10",374,374,374,374,374,374,374,374,374,374,374,374,214,35,137,35,0,77,0,125,nan%,57.22%,9.36%,20.59%,9.36%,0.00%,0.00%,33.42%
"9,11 / 11",85,85,85,85,85,85,85,85,85,85,85,85,44,28,25,28,0,19,0,13,nan%,51.76%,32.94%,22.35%,32.94%,0.00%,0.00%,15.29%
"9,11 / 2",91,91,91,91,91,91,91,91,91,91,91,91,71,10,33,10,0,38,0,10,nan%,78.02%,10.99%,41.76%,10.99%,0.00%,0.00%,10.99%
"9,11 / 3",91,91,91,91,91,91,91,91,91,91,91,91,69,13,35,13,0,34,0,9,nan%,75.82%,14.29%,37.36%,14.29%,0.00%,0.00%,9.89%
"9,11 / 4",80,80,80,80,80,80,80,80,80,80,80,80,63,7,34,7,0,29,0,10,nan%,78.75%,8.75%,36.25%,8.75%,0.00%,0.00%,12.50%
"9,11 / 5",105,105,105,105,105,105,105,105,105,105,105,105,72,20,31,20,0,41,0,13,nan%,68.57%,19.05%,39.05%,19.05%,0.00%,0.00%,12.38%
"9,11 / 6",99,99,99,99,99,99,99,99,99,99,99,99,82,10,39,10,0,43,0,7,nan%,82.83%,10.10%,43.43%,10.10%,0.00%,0.00%,7.07%
"9,11 / 7",94,94,94,94,94,94,94,94,94,94,94,94,78,5,55,5,0,23,0,11,nan%,82.98%,5.32%,24.47%,5.32%,0.00%,0.00%,11.70%
"9,11 / 8",95,95,95,95,95,95,95,95,95,95,95,95,80,7,56,7,0,24,0,8,nan%,84.21%,7.37%,25.26%,7.37%,0.00%,0.00%,8.42%
"9,11 / 9",102,102,102,102,102,102,102,102,102,102,102,102,85,5,69,5,0,16,0,12,nan%,83.33%,4.90%,15.69%,4.90%,0.00%,0.00%,11.76%
"9,9 / 10",184,184,184,184,184,184,184,184,184,184,184,184,68,98,21,98,0,47,0,18,nan%,36.96%,53.26%,25.54%,53.26%,0.00%,0.00%,9.78%
"9,9 / 11",49,49,49,49,49,49,49,49,49,49,49,49,19,26,5,26,0,14,0,4,nan%,38.78%,53.06%,28.57%,53.06%,0.00%,0.00%,8.16%
"9,9 / 2",88,88,88,88,88,88,88,88,88,88,88,88,46,36,16,33,3,30,0,6,nan%,52.27%,40.91%,34.09%,37.50%,3.41%,0.00%,6.82%
"9,9 / 3",92,92,92,92,92,92,92,92,92,92,92,92,58,29,20,28,1,38,0,5,nan%,63.04%,31.52%,41.30%,30.43%,1.09%,0.00%,5.43%
"9,9 / 4",86,86,86,86,86,86,86,86,86,86,86,86,45,37,9,37,0,36,0,4,nan%,52.33%,43.02%,41.86%,43.02%,0.00%,0.00%,4.65%
"9,9 / 5",86,86,86,86,86,86,86,86,86,86,86,86,44,34,12,34,0,32,0,8,nan%,51.16%,39.53%,37.21%,39.53%,0.00%,0.00%,9.30%
"9,9 / 6",84,84,84,84,84,84,84,84,84,84,84,84,43,37,13,37,0,30,0,4,nan%,51.19%,44.05%,35.71%,44.05%,0.00%,0.00%,4.76%
"9,9 / 7",45,45,45,45,45,45,45,45,45,45,45,45,28,11,15,11,0,13,0,6,nan%,62.22%,24.44%,28.89%,24.44%,0.00%,0.00%,13.33%
"9,9 / 8",102,102,102,102,102,102,102,102,102,102,102,102,60,34,28,11,23,32,0,8,nan%,58.82%,33.33%,31.37%,10.78%,22.55%,0.00%,7.84%
"9,9 / 9",88,88,88,88,88,88,88,88,88,88,88,88,38,39,24,17,22,14,0,11,nan%,43.18%,44.32%,15.91%,19.32%,25.00%,0.00%,12.50%
